prompt,completion
"Before becoming a de facto parliamentary republic, what form of government did Samoa have?",0
Can supplements be used to help with rheumatoid arthritis (RA)?,1
How can peppermint oil be used medicinally?,1
In what borough is Godiva based?,0
woke up with bad pain in my left jaw. could this be heart attack?,1
"When should I use a timed feeding method when feeding my dogs, and how should I do it?",1
Each of a parent's two genes for each trait will sort independently into gametes according to what Mendelian principle?,0
What method of execution was used on James W. Rodgers?,0
my wife thinks i should see someone for my palpitations. should i?,1
"Following the Ems telegram, what reaction did the French foreign minister report that he felt?",0
should i see some one about high blood pressure and the fact that my left ventenical is in larged. and pumping the blood back out. ?,1
I want to lose my appetite to lose weight. Are there any products for this?,1
Why is a colonoscopy used to see what is causing diarrhea?,1
What could decrease alcohol content during the brewing process?,0
Do you have many friend?,0
i have been prescibed tretin and glyco creams but no insulin resistance test yet by my doctor who says i have acanthosis nigricans. is it incurable?,1
my son was in auto accident one week ago. hhis knee was scraped badly and now is oozing green pus. he is diabetic. is this an urgent situation?,1
why do i have b12 anemia if i consume energy drinks with lots of b vitamins including b12?,1
Is there a vaccine to prevent dengue fever?,1
Do targeted therapy and immunotherapy for cancer work for everyone?,1
Can alternative remedies help treat rheumatoid arthritis (RA)?,1
What are the treatments for chronic thromboembolic disease?,1
Ehat is the vegetation type on Antarctica? ,0
what defines a puncture wound?,1
How is the quality of taste?,0
What are types of birthmarks?,1
Each persons perception of sound is called?,0
what is the difference between atrial and junctional tachycardia?,1
Fake fires were used as what kind of technique?,0
How reliable is the antibody test for hepatitis C?,1
What is radon?,1
can weaning back breast-feeding to just morning and bedtime lower risk for mastitis?,1
What compliments the challenge ,0
Why are there differences in ancient copies of the same text?,0
What concept did Milton Friedman propose after World War II?,0
How do burrowing marine annelids help ocean ecosystems?,0
what decreases blood pressure?,1
Federal law overrides what laws?,0
Under whose rule was Carnival established in the 16th century?,0
Why have aircraft carriers increased in size since World War II?,0
How is the quality of place?,0
Why couldn't Asa Gray use a Boston publisher for an American version of On the Origin of Species?,0
why is my nipple now inverted it wasn't that way before breast reduction surgery?,1
How can I treat cystic acne at home?,1
What concepts of metaphysics are included in Vedanta?,0
How fast can Ultra Speed CDs write?,0
How did the British avoid having large contingents of troops in continental Europe?,0
what are the symptoms of coronary artery disease (cad) in men?,1
Why was the First Council of Nicaea convened?,0
i took rainbow light prenatal vitamin and i have had chest pain. like a squeezing sensation in middle of chest. what is this?,1
How is the taste?,0
What are the conditions service?,0
hello docs had us pls what does this mean conclusion: bilateral benign cystic masses(bi-rads assessment category 2)n left benign lymph node,1
How do you like the manual?,0
what's the optimal natural way to lower cholesterol triglycerides and blood pressure?,1
What is the quality of the bottled water?,0
what is an echocardiogram and how is it helpful?,1
Element used to provide support to the original signal are called?,0
What are the types of human immunodeficiency virus (HIV)?,1
Why are long sentences in a modern preamble formatted into multiple paragraphs?,0
"a page on your site says ""ask a dietitian"" but i don't see any dietitians on the site. what's up w that? am i missing something? thanks!",1
How are duplication events studied?,0
why diabetes mellitus is risk factor tuberculosis?,1
What amount of bacteria can be found in a gram of soil?,0
Elateridae and Staphylinidae are what kind of luminescent?,0
How do you like the computer?,0
How can sickle cell disease affect your immune system?,1
"Before Einstein, electromagnetic radiation was considered to behave as what?",0
will i have a heart attack from heart palpitations due to hyperthyroidism? and will i gain weight when i start taking the medicine to treat it?,1
How was the food?,0
How do digimon evolve?,0
i have had 3 bouts of mrsa face n throat (along w cellulitis) once in lip absess and once in neck absess. will this be a continual problem for me?,1
What number is Bell's patent?,0
i will be fine then my fingers will tingle vision has black spots i feel as if i will faint. i fainted once. forehead tingles and body feels heavy.,1
What are ways to fight gout?,1
How can e-cigarettes trigger headaches?,1
What are signs of aspirin poisoning?,1
What view does the Jewish community take on God?,0
How can you manage nausea and vomiting from chemotherapy for non-small-cell lung cancer?,1
my 3 year old son has grade 4 tonsils. osa- sleep apnea. & surgery is tmrw. what can we expect for him?,1
what would happen if 9mg of betamethasone were injected by accident into a person who does hours of high intensity cardiac exercise/day?,1
i wonder the best way to get rid of man boobs?,1
Is there a long wait between cars?,0
"Besides a referee interfering, when else is play stopped?",0
What trend caused the drop of ethnic Estonians?,0
When should you see your doctor about tension headaches?,1
my cardiologist said that i have mild mitral and tricuspid valve regurgitation but they are not harmful. but now i have ectopics when laying down. why?,1
Do other health concerns happen less frequently or more frequently with asthma?,1
How can sleep apnea be cured?,1
What happens if you have HPV (human papillomavirus) that can lead to cancer?,1
How are the bit bytes transmitted?,0
Did adolescents report more sexual or social events to researchers?,0
what could caused & solution for heart beat run fast of 15years old boy its happen once between 30 to 50days he felt pain when the heart beat run fast?,1
"Besides buying from the American plantations, where else in the western hemisphere did Britain buy cotton?",0
Who did the NEC expel ,0
What  does Scout see symbollically as a mockingbird?,0
what do i do about a dog bite?,1
What conditions are more likely to cause Exercise-induced bronchoconstriction?,1
What objects do musicians have to have in order to play woodwind instruments?,0
Will I need surgery in order to have my Crohn's disease go into remission?,1
what is the typical sequence of treatment with swollen lymph nodes and high wbc?,1
what's the chance of my future kids inheriting my brother's heart birth defect?,1
How can migraines make you see things that aren't really there?,1
i have had boils on my skin for quite some time (6 years. ) they drain-recur. it started after i stepped on a nail. they're spreading y/to tetnus shot?,1
"What descriptive name was Op. 10, No. 12 given?",0
What are salad tips for having a salad at a restautant if you have high cholesterol?,1
i am unhealthy. stay up til 6am sleep til 4 pm. eat once a day. smoke 2 packs a day. am over weight. am depressed. never work out. work 2 jobs. girlfriend pregnant. very stressed. 21yo feel like 45yo. ideas?,1
How do antidepressants help treat irritable bowel syndrome with diarrhea (IBS-D)?,1
Why does a sky turn red when the evening comes?,0
Was the firstbook or the second one good?,0
China has how much wind power installed?,0
What must be a part of a states Gross Domestic Product in order for them to be considered for particpation in auctions?,0
How dirty is the carpet?,0
For how long was Spanish the official language of Galicia?,0
Can ear candling treat earwax blockage?,1
Does Mila Jovovich have many lines?,0
How can a Mediterranean diet help treat rheumatoid arthritis (RA) inflammation?,1
Can a unborn child face issues with stress than can affect their future abilities?,1
What act allowed polytechnic schools to become universities?,0
"Zinc, copper and aluminum alloys have use in what part of machinery?",0
How is the story?,0
How was the camera?,0
Who should get palliative care for lung cancer?,1
How do I know if my illness is something more than the common cold?,1
What are tips to prevent oral health problems?,1
Should you take fever reducers if you have the flu?,1
is xenical or qysmia ok to mix while taking prenatal vitamins?,1
What are the symptoms of systemic-onset juvenile rheumatoid arthritis?,1
What animal was carried aboard the  Zond 5?,0
What's the outlook for stage IV colon cancer?,1
How effective are treatments for secondary progressive multiple sclerosis (MS)?,1
A Buddha is no longer bound by what?,0
How big is the camera?,0
How is it cup ?,0
Can I stay active and energetic with atrial fibrillation (Afib)?,1
Is it an excellent stay?,0
"Before being converted to RGB, colors are ususally broadcasted using what color space?",0
Who did the new owner of the Cubs sign from the Boston Red Sox?,0
What must Australian and New Zealand citizens do in order to apply for residency in Norfolk Island? ,0
"will a fat transfer help for ""not big enough"" breast implants?",1
i count calories. im now hearing that may be bad and it slows down your metabolism. is that true? thank u.,1
Besides boats how does St. Barts import most of its food?,0
What is your opinion about the character?,0
What is novel?,0
What do you think about the hotel?,0
i have hashimoto & insulin resistance i ve had no sexual libidi for 5 yrs now i m being treated for afore said conditions but still no libido help!?,1
What is uveitis?,1
is it necessary to give tetanus vaccine to prepubescent kids with injuries even though they have received three shots of tetanus toxoid as toddlers?,1
How far was Marconi able to get his signal to go using this technique?,0
How is a radionuclide ventriculography used to diagnose heart failure?,1
What are some options to help with the ringing of tinnitus?,1
What concept was Frédéric credited with creating?,0
 For what trading company did Kelsey work?,0
does inflammatory breast cancer look like a 4mm circular sore that's been there for over a month and has new skin growing over top? i'm nursing.,1
What do doctors use to check for prostate cancer?,1
Do you want to feel my kisses?,0
How is the size?,0
What happens during remission for ulcerative colitis?,1
what do i do if i have the end of a q-tip in my ear?,1
uti cellulitis and lost about ten pounds within a week. was tested last year for diabetes and told pre-diabetic. should i retest? are these symptoms,1
Zinc in the main metal used in making which american currency?,0
What movement method do some burrowing annelids use?,0
When will I feel better after a wrist sprain?,1
"Yale also has a theater managed by its' own student, then name?",0
How was the camera?,0
How are bergschrunds different than crevasses?,0
Following the crusades which country was dominated?,0
What radical political changes occurred during the 19th century ?,0
What is laparoscope for proctosigmoidectomy?,1
How is Enbrel used to treat rheumatoid arthritis (RA)?,1
What physical symptom accompanied Muhammad's revelations?,0
would i be eligible for ultrasonic liposuction with the medication i'm taking? i am a woman in my 40's. i am no longer taking warfarin but i am taking plavix (clopidogrel) as part of my anticoagulant drug regimen and i would like fat removed from my butt,1
What port do you prefer?,0
what happens if overweight people make up 2/3 of american adults why are so few on college campuses overweight?,1
what is the definition or description of: gynecomastia?,1
What adjective did Choules use to describe the shops of Southampton's High Street?,0
"For small dogs, what is the average number of pups in a litter?",0
How can you reward yourself for quitting smoking?,1
please can you explain what atrial flutter with variable av block compatible with a bundle branch block. possible inferior infarction probably old is?,1
why do i have poor circulation on my right arm.,1
Advertisers switched from print ads to what to reach more customers?,0
Why have birds been domesticated by humans?,0
How can I prevent pancreatic cancer?,1
can you tell me which medications are most often prescribed for type 2 diabetes. what are their primary side effects?,1
What will your doctor look for in other blood tests for rheumatoid arthritis (RA)?,1
What are the advantages of photorefractive keratectomy (PRK) eye surgery?,1
possibly bad sleeping habit rather than sleeping disorder? i am 20 years old healthy work out eat healthy foods but can't sleep at night. i can never fall asleep till after 230am and then i sleep in till 1130am. this has been going on for about 3 months,1
Why are some glaciers stagnant in Alaska?,0
please describe a good high fiber diet plan?,1
will a aortic aneurysm disappear?,1
How are the selected cars then readied for passengers? ,0
 Many earlier built  freight elevators were controlled by what?,0
Why was he investigated?,0
How can I get good bread with a good texture in this hotel?,0
What is stage D heart failure?,1
is there any way to relieve breast soreness days before your milk comes in?,1
How does iron relate to restless legs syndrome?,1
How will you deliver the book to your wife?,0
How was the design?,0
What does it mean if my rectal cancer has recurred?,1
How is the texture?,0
What other treatments are available for men with diabetes and erectile dysfunction?,1
What compound is UF6?,0
What could the prophet Laozi offer in return for the confession of sins?,0
Games in plain PlayStation format can be played both on the PS3 console and what other device?,0
Computational neuroscience is concerned with what two studies?,0
How long will I need to keep seeing my doctor for Ewing's sarcoma if the treatment works?,1
What is the TNM staging system for thyroid cancer?,1
What is the quality of the server?,0
what do you advise for heart disease history and smoking cigarettes?,1
Why don't I get antibiotics when I have a cold?,1
What profession of people made up the entireity of the Comitia Centuriata?,0
can sleep apnea cause a person to have nightmares?,1
What dental care supplies should I keep if I have diabetes?,1
What are the recommendations for pregnancy nausea or vomiting?,1
Bagaru and Sanganer represent what type of art?,0
can dental work like bonding and grinding of rigged teeth cause tmj sleep apnea problems with epiglottis tongue enlargement suffocation?,1
Zen focuses on what type of breakthroughs?,0
How is the function?,0
How are dogs viewed in Asian countries?,0
What is cracker?,0
How is renal artery stenosis treated?,1
Write operations to typical Hi-Speed hard drives can what?,0
What can I do about eye floaters?,1
How does ocular herpes (herpes of the eye) damage your cornea?,1
How common is dysthymia in the United States?,1
What are weighted cones for urge incontinence?,1
What causes walking pneumonia?,1
Which diabetes medicines are thiazolidinediones?,1
what diagnostic procedure would show an image of a bleed caused by a cerebrovascular accident?,1
"bmi of 15. 5. 24"" waist. 25 yr old f 5ft. dipstick detected protein in urine. dark green - 300? what is happening?",1
hi my mum was diagnosed with dcis with focal microinvation. er/pr - her-2 +3 ki67 positive in about 15% of the dcis. (tum siz=2cm) is this danger?,1
What makes acupuncture unique as a treatment for migraines and headaches?,1
how can i loose weight?,1
Elements in a half wave dipole and on an identical axis are said to be what?,0
How is it staff ?,0
What is pseudobulbar affect?,1
How effective is sclerotherapy?,1
Why was it natural to have Ford Motor Company based in Cork?,0
headaches every day snoring at night?,1
What borough has the largest population of ethnic Albanians?,0
"At minimum, how many regular season games did the AFL agree to broadcast?",0
How do you know what medication is best for your child's ADHD?,1
Dog could also come from the original layer of what vocabulary?,0
Does the type of food I eat affect my blood sugar spikes after meals?,1
What are some side effects of medication for psoriatic arthritis?,1
what are the sign to look for when taking warfin that things are not going right?,1
What organization is the FBI a subset of?,0
How can you tell if you have rheumatoid arthritis or Lyme disease?,1
What are the 5-year survival rates with each stage of breast cancer?,1
How much space is there?,0
what causes one to experience poor circulation in the hands and feet?,1
my baby has puss-filled spots on her back and face they come up overnight and have no idea what causes them?,1
Women's education common stressed which literary genre?,0
Does the company has available driver?,0
How are some abstract characters represented in Unicode?,0
What is the size like?,0
What causes tinnitus?,1
Affirmative action attempts to ask institutions to grant extra consideration to what group of people outside of Native Americans and women?,0
What are the side effects of interferon drugs and Copaxone for multiple sclerosis?,1
very dark brown/black diarrhea for 2 days. i took garcinia cambogia over a week ago but stopped because it made me vomit. what is causing this?,1
what are reliable doctor-recommended healthy snacks to eat while dieting?,1
What concept did Kato Kiyomasa think should be studied every day?,0
hey. 'skipping' palpitations over last two days no dizziness pains or breathing probs as of yet. not heart patient. anything to concern over?,1
How can I write something terrifying?,0
Does exercising prevent colds?,1
is meclizine and ephedrine (ephedrine sulfate) available over-the-counter in the us?,1
What usually covers the whole trunk of a very young tree?,0
i have been having sudden severe headaches on both sides of myhead in my temples when my heart rate accelerates. itis severe throbbing pain?,1
can u take alli and hcg drops together then take a multivitamin at bedtime. of course i plan to diet and exercise. im pretty much obese?,1
How much of the talent of Christie is seen in her novels?,0
What causes secondary hypothyroidism?,1
When should you call your doctor after an HSG?,1
Are alternative weight loss therapies effective?,1
By 2007 how many square feet of office space did Houston have?,0
How can stress affect psoriatic arthritis?,1
if my baby's heart rate changes significantly does labor have to be induced?,1
Do you have any computer with mouse?,0
My dentist offers special treatment for anxiety patients. How does it work?,1
Are the images of very good quality?,0
What could have cause loss of power via the use of the term biracial and multiracial?,0
how do i find information on mastocytosis?,1
What is the nice noodle?,0
How are children mistreated in Nigeria?,0
please help docs! is sushi allowed in a hcg diet?,1
What are the symptoms of histrionic personality disorder?,1
How is the room service?,0
How is action?,0
What number of Christians did Selim the Grim equate to the killing of one Shiite?,0
When should you call 911 for heartburn or a heart attack?,1
What can happen when taking a potassium blood test?,1
Following the departure of the Soviet immigrants what was the percentage of Estonians in Estonia?,0
What is the sound quality?,0
How would rate the value for money of the product?,0
How is the characterization of the actor?,0
Where can I get the reception staff?,0
How is it ingredient?,0
How long is a sinus infection contagious?,1
How do I know if these snacks are good?,0
how can i treat obstructive sleep apnea?,1
How is osteoarthritis of the hand diagnosed?,1
How do you like cracker?,0
"Due to electric chair malfunctions, what method of execution became preferred?",0
How does the movie become at times?,0
Do boys or girls grow muscle faster during puberty?,1
What ordering scheme did readers prefer?,0
What condition besides sea level rise can damage coral reefs?,0
i'm diabetic type 2 38 yo male. no meds - on diet/workout. regular bg levels are ok. latest hba1c1 is 5. 7 can diabetic foot develop? what symptoms?,1
What are the side effects of the Td vaccine?,1
How is the service?,0
Why was the first route not taken?,0
what to do if i need an exercise plan to strengthen my abdominal muscles one that i can do at home?,1
How is advanced penile cancer treated?,1
What are the types of cancer remission?,1
What do you think about location?,0
what might happen if i don’t get cellulitis treated?,1
Zbigniew Brzezinski and Malik Mohan consider what country to be a great power too?,0
How was the voice?,0
Could you cure your headache with caffeine?,1
What causes hair loss?,1
i had a svt episode n my heart rate went up to 180 & it last about 6-7 minutes total. please help?,1
What must a user do under a prepared license?,0
How is the hotel?,0
Adolescent cultural differences are especially visible in which type of autonomy?,0
How is the day like?,0
 What is a major function of a foundation?,0
How do antidepressants treat pain relief?,1
How are triglycerides measured?,1
When will my new tattoo be completely healed?,1
Does this is film contains strong scene?,0
How can your eating habits affect swallowing problems?,1
How many students receive financial aid at Eton?,0
what does this sound like? i have daily blackouts. no fainting but no sight and no hearing. it's like someone has turned off the lights without warning and placed my ears on mute. how long does this happen each day? i couldn't tell you because it happens,1
What order is the breakdown field strength for air dielectric capacitors of?,0
Can children get headaches?,1
England played against countries besides the Home Nations for the first time in what year?,0
How is the restaurant?,0
Is the bass sound the deepest ?,0
How did the Chichimeca survive?,0
How should I talk to my infant?,1
Admiration of performers for new interpretations can be seen when composers feel the performer achieve what?,0
brown rash exactly where my testicles lay in groin area on both inner thighs. no itching. hygenic/not obese. what is this and how did i get it?,1
what are the symptoms for heart attack and diabetes?,1
"During informal consultation, what is the goal?",0
What concept was de Candolle considering as he studied plants?,0
Children under what age often cannot comprehend sarcasm?,0
Half the population of Jews live in what borough of New York City?,0
How are biologic drugs used to treat plaque psoriasis?,1
Do peer acceptance and social norms have a greater or lesser effect on behavior at the onset of adolescence?,0
What concept's use has declined significantly in the U.S. during the 20th century?,0
What could help to spur pharmaceuticals to make new antibiotics?,1
How is the time?,0
Should I be screened for breast problems if I'm breastfeeding?,1
When do symptoms of Epstein-Barr virus show up?,1
"Besides boarding bridges, what also doubled in 2014 at Brasilia's airport?",0
Destiny's Child released a compilation album about which topic?,0
i had gastric bypass almost 8 years ago over the past couple years ago i have had horrible leg cramps on the inside of my thighs they are horribly painful and also seem to happen when i have a lot of swelling in my legs relief?,1
How can I prevent itchiness with polycythemia vera?,1
Dog cognition has been studied on what kind of dogs?,0
early period lasted 3 days one day heavy then very light spotting still experiencing pregnancy symptoms cramps breast tenderness nausea pregnant?,1
"What descriptive name was Op. 64, No. 1 given?",0
What composes the cell envelope?,0
i'm just wondering if you take hydroxycut do you have a chance of catching liver disease?,1
What do the results of an ankle-brachial index (ABI) test mean?,1
i haven't had a period for 6 months now i've took a pregnancy test it came back negative i now have breast pain for about 2 weeks now and headaches?,1
What will the results of an evoked potential test tell my doctor?,1
How is the writing style of the book?,0
What do long-term studies suggest about substance abuse in boys with ADHD?,1
what is the difference between hdl (high-density lipoprotein) and ldl (low-density lipoprotein)?,1
mri biopsy was done and showed dcis. histopathology showed invasive ductal with 2. 5 mm microinvasion (grade 2). er-pr negative her +ve (+3). my ques?,1
How do you do kegel exercises for bladder training?,1
what are the symptoms of having a hole in the heart?,1
is their any way to loose weight without going on a diet and without doing more exercise?,1
Why are the plates and dielectrics often staggered in larger value capacitors?,0
What are the two main types of fatty liver disease?,1
What prize was awarded to the winning amateur dirctor film at the 2013 Sundance Film Festival?,0
Why are certain bacteria called predatory?,0
What is medical cannabis?,1
How is an infected cornea treated?,1
For which vocation did Popper complete his university examinations?,0
What happens when someone has popcorn lung?,1
"Yale University also contains a historical site within it campus, the name of it?",0
How long does a rehab program take after a knee or hip replacement surgery?,1
What is coffee like?,0
what are the downsides to gastric bypass?,1
What activity did Kanye West start doing when he was five?,0
"What Nobel Prize did Nakamura, Amano, and Akasaki receive in 2014?",0
Each tradition has its own core what?,0
El Salvador was home to which indigenous peoples?,0
Why are smoking bans in place?,0
Can one increase their brain efficency?,1
What is the prince of a plate in this restaurant?,0
"How do the drugs Ditropan and Levsin work for bed-wetting, and what are their side effects?",1
i have an ldl 131 mg/dl hdl 54 mg/dl and trig 115 mg/dl. i eat plenty of fruits and vegetables exercise don't smoke/drink and have a bmi of 21. ?,1
What  trees  are bad for pollen allergies?,1
What is alopecia universalis?,1
What could happen to the top few teams at the end of the season?,0
i have pcos and i take metformin tab 800mg daily. i complain of headache due to lowering my blood suger. is metformin bad? and i want to lose weight.,1
What component of a universal motor is most likely to fail?,0
"Formerly known as the Viceroy's House, which large building is located at the heart of New Delhi?",0
how soon do heart arrhythmias start?,1
How are allopatric populations separated? ,0
What is a staph infection of the skin?,1
Why are tagging rules made?,0
I have ADHD; what will I most likely have trouble with in my job?,1
What are questions that I can ask for my doctor about follicular lymphoma?,1
im suffering from anxiety more than a year now can this lead to a more fatal disease like what? normal 2decho threadmill stress test ecg chest xray,1
Dog fat in some parts of Poland is thought to have what?,0
How do I open the package?,0
"During ""The Troubles"", who waged assaults via bombings on London?",0
Dukkha can be translated as what word in regards to unhappiness?,0
"For Sunni Islam, what does the word Imam commonly mean?",0
Zinc oxide is used to fortify what product?,0
is this normal? i've lost about 5 pounds over the last two months by cutting down my beer drinking. my diet and exercise level is the same. awesome!,1
what can i do if my bmi is 28 and i need to get it down to 25 to not be overweight any help and tips?,1
what part of the body does obesity most effect?,1
What computer did Arthur L. Samuel program to play checkers in 1957?,0
How are brain lesions diagnosed?,1
What  is asthma usually classified based on?,1
Am I more at risk for cataracts and glaucoma if I have diabetes?,1
will simvastatin 40mg and 1000mg of niacin and 2gs of fish oil and 1200mg of red yeast rice 1200mg help bring my cholestrol come down.,1
is there a website that shows everyday how long you can be outdoors at your location before it becomes dangerously cold?,1
are there any natural ways to enlarge your breasts? i'm tired of hearing about augumentation. please tell me about the pills or creams that really work.,1
"During the summer solstice, for how many minutes did hora tertia last for the Romans?",0
What are the symptoms of breast cancer?,1
i was hooked up in er to monitor. rhythm was steady when laying down but changed when i sat up and twisted around. i noticed my rhythm became somewhat erratic and had a sharper tip. hr ok. oxygen level dropped upon sitting up and bending over.,1
How are pasta is firm?,0
What temperature is the device?,0
Why was green chosen for a number of new European political parties in the 1980s?,0
What compression is usually performed with even more specialized techniques?,0
why do i always get a pimple in my ear? thanks!,1
How is a saliva test done to measure cortisol?,1
How is the texture?,0
How is the set?,0
How are the sender and receiver connected in a slightly more complex form of communication model?,0
Eyak and Tlingit are some of the peoples who are collectively called what?,0
How is the meal?,0
How was this place?,0
"Early on, what did they defend against with the British?",0
"Bribes also halt unions, the protection of children in labor, and what?",0
i feel overweight because i've been depressed amd have turned to eating a lot. am i overweight? i am 27 is 5ft 3in and i weigh 152 lbs.,1
"Dukkha is often translated as suffering, but the philosophical meaning of dukkha of more closely related to what term?",0
What tests are used to diagnose IBS-A?,1
Due to what concerns is diesel fuel no longer used as a release agent for transporting asphalt?,0
How is the steak?,0
How can blood vessel problems cause blood in semen (hematospermia)?,1
What is the rating?,0
How does treatment help with hepatitis C if you've had it for a while?,1
How is your social position?,0
Where did Sir Francis Drake attack in 1585 and again in 1589?,0
What should you know about luteal phase defect?,1
What is bronchial thermoplasty for asthma?,1
At what local time does the United States change the time?,0
What opened doors for long recordings?,0
how can your resting heart rate translate into the amount of calories your body uses?,1
What does the tea taste like?,0
How is the taste?,0
How many books does this series have?,0
What is myoclonus?,1
What makes bacteria resistant to antibiotic treatment?,1
"Generally, what powered the relay contoller?",0
How can you get shortness of breath from surgery for non-small-cell lung cancer?,1
How is the world building?,0
"During his time in college, what did Gaddafi study?",0
Where can I find a book with more detail?,0
What are the advantages of laser epithelial keratomileusis (LASEK) eye surgery?,1
What causes dependent personality disorder?,1
What object sources the data in of the first LED of a digital rgb LED?,0
Who's more likely to have HPV?,1
how do i figure out why i am not losing weight on this low calorie diet?,1
inverted t wave in lead 3. normal chemistry/cbc. next day t-waves were normal (upwards) causes for this?,1
What did Eastern European people want to do with communism?,0
What foods can help with swelling in psoriatic arthritis?,1
why would the pain of angina be brought on by exercise or stress?,1
What was the first wave of modern Jewish migration to Ottoman-ruled Palestine known as?,0
What stuff does this dish have?,0
hey! i have a hard bump on my lower jaw right before turning for the chin. it seems like it's part of the bone. what could it be? obese 18m.,1
vasculitis and tachacardia do they always go together?,1
What animal was believe to be the only land vertebrate of Bermuda?,0
why do i feel my chest burning when i bench press?,1
Name a peasant rebel leader?,0
What plays a role in headaches and migraines?,1
why is there not cure for common cold?,1
How is the great deal?,0
What can I expect from lipodystrophy?,1
How far was it from Chengdu?,0
What can you do at work to help with fibro fog and fatigue?,1
Electrodes are often glued to what like in EEG studies?,0
Do girls who are malnourished start menustrating earlier or later than those with high-fat diets?,1
can we get flat belly in a month? and how?,1
How are bantams different from other chickens?,0
Who did the Neo-Confucian establishment have animosity towards?,0
need to reduce weight?,1
How is the view from this hotel?,0
What happens during a pelvic exenteration for cervical cancer?,1
What do you think about price?,0
How are Christmas colored light bulbs created?,0
why do they treat some woman with breast cancer with herceptin (trastuzumab)?,1
What did Eastern Nigeria want to call itself as an independent nation?,0
How good is book number one?,0
Why are certain larger transformations not permitted?,0
Yugoslavia was the only communist country to have an embassy where?,0
what causes frequent pauses in pulse when holter monitors have ruled out premature beats? cardiac work up normal but i do have skips in pulse.,1
What conditions caused the delay of drilling in mid-2012?,0
What can a blood test tell you about your pancreas?,1
How is low-dose aspirin used to treat polycythemia vera?,1
What could still serve the purpose of the first common Slavic literary language?,0
How is an infection or infectious arthritis described and treated?,1
How do opioid (narcotic) pain medications work?,1
i had a cut mark on the hand. there is a hard layer formd btw the space creatd by 2 cuts. what should i do so that the scare will be gone?,1
Should I take my child to the hospital because of a broken bone?,1
Which foods should I avoid if I have IBS?,1
What is the solution?,0
Does it help to put heating on sinuses for a cold?,1
can gas in the stomach cause heart palpitations?,1
why one should not worry about lafb? my ecg says i have lafb. i am a very active healthy and so far no hbp or diabete. how bad is prognosis?,1
What are some ways to ease the effects of stress on your skin?,1
am i at risk of having a stroke if i have sleep apnea?,1
What condition was Napoleon's body in when it was moved in 1840?,0
Does the audio is mono or stereo?,0
What are other systemic steroids besides prednisone is used to treat asthma?,1
What race was the majority of Singapore's population?,0
How is movie?,0
what to do about second-degree burn can you help me?,1
How is the story line?,0
What problem caused the papal brief granting the right to publish to be withdrawn?,0
How can cognitive behavioral therapy help treat Asperger's syndrome?,1
hello dr. allan i woke up worried today because i noticed a purple spot on my knee that doesn't hurt or itch. i also get chest pains.,1
Is a noisy place?,0
What trees are protected along the coast of San Diego?,0
How are a and e in western dialects?,0
How likely can you get kidney disease with type 1 diabetes?,1
What other types of theater performance are seen in Nanjing?,0
What concept relates measurements of time and velocity of two observers in motion relative to each other?,0
i had two cellulitis infections (one behind ear and one on lower stomach) at same time with a very swollen lymph node behind my ear. is this unusual?,1
"During the courtroom scene, what happens to the audience?",0
What pro team has FC Ararat beaten?,0
should the government pay for gastric banding for obese individuals?,1
What concept does yoga accept the differentiates it from Samkhya?,0
"Circa 2000, what was the latest pubs in Wales could be open until on every day but Sunday?",0
How is the offer of apps on this tablet?,0
zispin or lexapro (escitalopram) which is best for anxiety. thanks?,1
How do characters differ in Mexican wrestling?,0
What compound was discovered to induce sleep?,1
What are halos in vision?,1
What is a slit-lamp test to help diagnose eye stroke?,1
What part of food affects blood sugar the most?,1
What are extreme cases of frostbite?,1
How would you describe the gift of Gregory in writing historical fiction?,0
what are the symptoms of a leaky aortic valve?,1
What could have made temperatures more extreme?,0
El Paso and Ciudad Juarez combine for a population of how many people?,0
How is the capacity?,0
does bodybuilding stunt growth? some say squats etc. do that. and is it ok if i workout at the age of 16,1
what is causing my pulse rate to be so low? it's 34 beats a min.,1
is it ok to eat pumpkin seeds while on the atkins diet?,1
normal sinus rhythm. possible lt atrial enlargement. cannot rule out ant infarct age undetermined. abnormal ecg. had pain in left chest and arm.,1
should i worry if i'm constantly having an increase in heart rate and chest pain? could it be deadly or will i be fine.,1
What are some tips to help you choose the right treatment for breast cancer?,1
What description of the writing in the Quran highlights its poetic aspect?,0
Why do I have a big food?,0
YOutube does not often post a what for its videos?,0
A book is likely made with paper that has low amounts of what component of wood?,0
"During and after the 80's, what helped a cappella music rise in popularity?",0
what does benign to malignancy mean in terms of breast lump?,1
do thermobol fat metabolizing tablets work?,1
how much must i expect my doctor to educate me on breast cancer screening?,1
How likely is a relapse after remission from an acute episode for someone with bipolar disorder?,1
What should I do if a have a bad reaction to my medication?,1
Are asthma and sinusitis linked?,1
Are chest X-rays effective for diagnosing lung cancer?,1
How does pancreatic cancer begin?,1
What are some energy boosters that can help prevent psoriatic arthritis-related  fatigue?,1
What if medications make me too sleepy? ,1
can anemia be secondary to dm2. i wasn't told what kind of anemia and would like to ask how to rule what type i am.,1
"""Compensation"" consists of what?",0
"Why was the tactic of bombing German aircraft bases, factories and fuel reserves impractical?",0
what causes sudden rise in bp? i've had massive heart att and chf. taking my bp meds as normal. did this way before heart attack. causes?,1
What condition is iron and steel alloys slowly oxidized?,0
Do tension headaches keep a person from performing daily tasks?,1
