,prompt,completion
13817,How can you treat minor skin problems if you have diabetes?,1
5658,Can you prevent normal pressure hydrocephalus (NPH)?,1
52164,does diabetes type 2 correlate with slow wound healing?,1
83751,i'm in hospital. 8. 6 hemoglobin heart rate elevated. 115-135. fever night sweats. no fever in day. 14 days of symptoms any thoughts?,1
49398,do weight reduction bands work if you wear them while working out?,1
685,Can people in New Zealand vote for the 51st State Party?,0
706,Experts from what country disproved the NSA's report?,0
109594,can paitents of heart sarcoidosis go into cardiac arrest?,1
68862,how much more hassle? went for breast implants in 1985. lived through fear of foreign body hardening. now dealing with sagging. what next?,1
476,FireWire 400 is faster than what?,0
28535,why do i always pig out hard when i have been drinking?,1
58,How does exercise help adults with ADHD?,1
1192,"What conclusion did Darwin come to after realizing that some diverse species were able to create variations easily, while other species thought to be closely related had difficulty?",0
637,What was the grammatical gender of the Old English word for wife?,0
2412,How should I help a patient with Alzheimer's disease with activities.,1
24199,Why should I take the full dose for urinary tract infections (UTIs)?,1
80058,what heart problems palpitations come secondary to pregnancy? when should we worry?,1
140,How is the card?,0
45441,How can you ease discomfort from fibrocystic breast changes?,1
520,Frontiersmen from the Carolinas moved west into what area that is now known as Tennessee?,0
6517,How do doctors diagnose breast cancer?,1
7543,diagnosed cellulitis 3days ago. bactrim (sulfamethoxazole and trimethoprim) since then not resolvd. been like that 5days lump redness n pain bigger n more. should it be cut. no white head?,1
235,How about the taste of meals?,0
738,Genetic engineering allows what?,0
24505,What is intravenous immunoglobulin therapy used for?,1
32378,What causes migraine headaches during pregnancy?,1
36328,How is osteoporosis treatment used to relieve spinal compression fractures?,1
12805,How long do SSRIs take to work?,1
1037,What did Egyptian artists grind to use to paint on the walls of tombs or on papyrus?,0
358,"Due to the traditional closing hours, when was there often violence outside of pubs?",0
291,Are the products of good quality?,0
1167,What concept is of basic importance in modern physics?,0
45867,How can allergies or other skin conditions seem like a yeast infection?,1
2213,how much should i get off work due to tendon laceration?,1
46666,what is the difference between an ultrasound of breast and a mammogram?,1
104034,persistent ear ringing or two months that is sometimes worse or better. low bp high hr at times smoker. took antibiotics no improvement. cause?,1
333,How is the one?,0
433,How do you like egg?,0
94360,i have acquired qt prolongation am i at risk of arrythmias or sudden death?,1
30528,What are the treatments for wet macular degeneration?,1
1345,What problem did the hardware modification cause with later games?,0
32779,Are there drugs available to treat migraines?,1
327,How is the character?,0
430,"Edward Carr believes that in a war between Germany and the Soviet Union, who else would have been participating?",0
517,What is the location of the hotel?,0
36467,How does exercise help osteoporosis?,1
1195,What conclusions were race anthropologists pressured to revise?,0
4445,What are examples of active physical therapy?,1
38,How do I know if I have hemorrhoids? ,1
1049,What desert constitutes most of Egypt territory?,0
63386,is there a global protocol that all breast cancer doctors should follow regarding treatments and timescales?,1
122442,will having pectus excavatum make my breasts smaller?,1
16652,How does pregnancy affect how I poop?,1
376,"During conflict, what would prevent transport of materials?",0
27280,When should you get medical help for heartburn or a heart attack?,1
1467,What method of translation did Schleiermacher favor?,0
94929,was told i have an excessive amount of tachycardia which is odd since i am bradycardic. how is this possible?,1
377,During Cyclone Pam which island had the most damage?,0
483,How was the restaurant?,0
60075,hi! i'm 45 years old 18 days late on my period and have never been late before also had a tubal ligation 15 yrs ago. i started the hcg diet 3 mos ag?,1
131713,what are the dangers of having surgery w/ high blood pressure?,1
1363,What physical qualities are needed for rhythmic gymastics? ,0
35154,How should I adjust my posture to treat temporomandibular disorders (TMD)?,1
100473,my resting hr is 55. when i sport 30 min and stop my hr goes from 160 to 100 in 1 min and 30 sec later it's 75 bpm. but it stays 75 bpm for 30 min?,1
414,How fast did you set the table?,0
13374,How many Americans have diabetes?,1
95733,have chronic symptomatic low pulse pressure (25-30) with normal hr. have had ekg stress echo 48 holter and ep study nothing urgent. what is wrong?,1
1013,What trees replaced chestnut trees?,0
1181,What concern did Churchill have in regard to Eisenhower's pre-invasion bombing plan?,0
37098,How can osteoarthritis cause noises?,1
89164,why would i need an ecg?,1
1166,What concept is characterized by abrasive leads and darker arpeggios?,0
47106,"what is ""early-stage"" breast cancer?",1
5604,How can blood circulation cause dizziness?,1
852,youtube is completely what in some places?,0
34297,What are common symptoms of clinically isolated syndrome?,1
77966,my niece 5 going 6 yrs old drinks formula milk. when shd i stop feed her? she was breastfed tainted milk till 4. her mom just passed fm breastcancer,1
286,How is the consistency of the appetizer?,0
928,Why does a litigant initiate a lawsuit under the Civil Rights Act of 1871?,0
7336,boil on toe clear jelly like pus. treated with antibiotic ointment. boil dry up but grow again in 2 weeks.,1
79058,i am experiencing nipple discharge and bloating or abdominal fullness. took pregnancy test but came out negative. clear discharge.,1
1106,What componds are common in copper?,0
447,Is this restaurant filled of people?,0
19877,What are the symptoms of strabismus?,1
1389,What orders fall under the royal prerogative?,0
1197,What condition did Droney have?,0
1420,What number did Queen's Jazz reach on UK charts?,0
542,What are the side effects of taking MAO inhibitors to treat ADHD?,1
21089,Who can get motion sickness?,1
302,Is the reviewed movie said to be lacking the properties that an action movie usually features?,0
244,British relations with which area became strained in the 1760s-1770s?,0
526,What is the quality of the bed?,0
1767,What are the side effects of antihistamines for allergies?,1
411,What do you think about food?,0
109930,what causes right-sided heart failure?,1
130,"""Charleston's Provincialisms"" was published in what year?",0
43913,How can weight and exercise affect my risk for a stroke?,1
577,How is the decor?,0
63517,if i am 18 years old am i too young for a breast reduction?,1
228,Does the package is a good taste?,0
31130,what to do if i have the surgery to treat sleep apnea?,1
20,What are hay fever symptoms?,1
14,What is the overall quality of the book?,0
26426,What tests might your doctor suggest to find out if you have systolic heart failure?,1
30283,Are annual chest X-rays recommended for lung cancer screening?,1
287,How is the cake?,0
32353,Should I get a doctor to evaluate my exertional headache?,1
155,How is the keyboard?,0
642,Why has their been distance between the Premier League and the Football League?,0
1393,What online retail giant has operations at the Cork Airport Business Park?,0
28727,How can people with  irritable bowel syndrome (IBS) get more fruit in their diet?,1
27458,What should someone do after treatment for hepatitis C?,1
2451,What medications treat early-onset Alzheimer's disease?,1
17477,At what age does otosclerosis start?,1
14925,Are stem cells a possible cure for diabetes?,1
95,How about your writing style?,0
98953,hello i'm a 26 fit and a healthy female. i eat clean & exercise 5 days a week. lately my heart rate increases after a meal. why is this? thanks!,1
1273,Why are LED lights sought after for various applications?,0
938,Why does CNN believe George W. Bush was accepted into Yale?,0
82,How is the reader?,0
99554,my partner has dilated cardiomyopathy for 10 yrs and cirrhosis of the liver 3 yrs drinks very occasionally what's his life expectancy.,1
1153,What concept did Irenaeus cite to help support his arguments?,0
14981,How do I know what my blood sugar should be if I am diagnosed with diabetes?,1
38120,What is laparoscopic surgery for prostate cancer?,1
28584,What is STW-5 and how does it help treat the symptoms of IBS-D?,1
11033,What is the definition of antibacterial?,1
70023,can getting a breast reduction prevent me from breast feeding in the future?,1
1381,What organization killed Gaddafi's grandsons?,0
79,Which painkillers are available over the counter?,1
118943,what is lisinapril for?,1
219,"Before being centrally located, how was the English government handled in terms of location?",0
1348,"What prevailed with the disgrace of ""Near East""?",0
247,How is the one?,0
665,Written Hokkein is based on what?,0
44907,Does 7-Keto-DHEA help with weight loss?,1
50374,what are negative effects of having breast implants?,1
12714,What are antiplatelets?,1
853,Youtube is ranked what on the world's list of most visited sites?,0
72393,how can you tell if a breast lump is serious?,1
10857,What over-the-counter medicines help for the flu?,1
347,Dromaeosaurids and troodontids are members of what group?,0
13536,Which type of fats should you cook with if you have diabetes?,1
175,How is the standard?,0
1007,What types of deities are Bhavani and Durga?,0
82833,i have a fluttering feeling in my chest. it comes and goes. it almost feels like a rapid heart beat but i checked my pulse and it doesn't seem to be beating to fast?,1
911,Why was the Greater London Council established?,0
5,Admiral Kincaid commanded what three groups of the Seventh Fleet?,0
79311,lymphedema i was born with it according to the doctor. i started to notice it when i turned 12 because of the swelling! is there any cure i am 18 now?,1
23608,How can blood loss cause iron deficiency anemia?,1
1336,What prize did Von Neuman win at the conclusion of his gymansium formal education?,0
326,Do White or Asian parents tend to expect autonomy earlier than the other?,0
26810,What is aortic insufficiency?,1
16961,Why would you get an EGD?,1
374,Why her character is really enjoyable?,0
380,"During France's retreat, atrocities were committed against French soldiers by which Russian subjects?",0
77039,after a lumpectomy for stage 1 breast cancer will a doctor always assign that you get radiation treatment or does it depend on the patient?,1
28076,What is testicular cancer?,1
12376,i am 5 yrs out from gastric bypass and in the last year i have noticed an increase in my feeling hungry. this was not an issue in the past.?,1
1067,"What could have blasted Neptune and Uranus's atmosphere with radiation, aiding in creation? ",0
1104,What complications are associated with Syphilis?,1
688,Does Piaget believe that egocentric thoughts decrease or increase during adolescence?,0
1020,"What triad are the inventory scales of hysteria, depression and hypochondriasis classified as?",1
1171,What concept took shape during Walpole's tenure as prime minister?,0
395,"During puberty and adolescence, do most children share the same or different attitudes and values as their parents?",0
1417,What objects were not used by early farm societies in the Near East ?,0
125984,what is pulmonary hypertension?,1
811,Why would my child need to take tests and provide records for a ADHD diagnosis?,1
117653,what is the necessity of robotic mitral valve surgery?,1
27794,What are the best foods to help control high blood pressure?,1
24533,How do you prepare for a potassium blood test?,1
20226,What is the cure for age-related macular degeneration (AMD)?,1
625,Name a popular series of boxing films?,0
1435,What noble interest did city-dwellers start to mimic in this period?,0
17,Affluent American families are what type of families?,0
98573,i'm a 13 year old girl my heart is beating around 122 times per minute (i used a fitbit). i'm dizzy and lightheaded. could i have heart desiese?,1
1033,What sources of caffeine can affect the brain?,1
19951,How is a KAMRA inlay used to treat presbyopia?,1
1461,What method is used to test software under a specific load?,0
542,How was bed quality on rooms?,0
28788,Can changes to my diet help the constipation that comes with my IBS?,1
915,Why was Gaddafi made fun of in elementary school?,0
2314,When should I call the doctor about hives and angioedema?,1
28,What are the first signs of high blood pressure?,1
4518,How long does it take before lithium starts working for bipolar disorder?,1
16626,When should you talk to your doctor about the cause of your chronic constipation?,1
1290,Why are Serbian and Croatian often treated like distinct languages?,0
12696,is dietary fat advice for cancer prevention similar to heart disease prevention?,1
13324,How can you prevent diabetes-related foot problems and amputation?,1
363,How is set?,0
756,Hokkien morphemes are not always what?,0
1151,What concept did Chopin create?,0
983,i have cellulitis and i've had it before. it doesn't seem like its spreading as fast this time. what should i do?,1
500,For which sports team category does Houston not have a team ?,0
120439,what do you think about atherectomy for cad?,1
17586,What are other causes of ear pain?,1
121964,what does elevated lipids mean? how many different lipids do you have?,1
49280,do i really need to be on cholesterol lowering medication? blood work indicates total cholesterol 261 ldl143 hdl 107. triglycerides are 44. i am not overweight and am an endurance athlete female 48 years old. doctor wants to put me on meds!,1
790,Under whose reign did the last major building works take place?,0
31760,How is conduct disorder diagnosed?,1
279,What is the quality of the blend?,0
761,"Home has free, won, and what third type of content?",0
515,From whom did the Scythians of Central Asia discover Hellenistic culture?,0
11028,Are there side effects of the nasal spray flu vaccine?,1
140,"A bribe can include requesting, offering, giving or what of favors or money?",0
328,Do young trees grow more quickly in open stands or in a closed forest?,0
867,Zhongshan Road and Hanzhong cross each other in what area of Nanjing?,0
846,Yaroslav held what title in medieval Russia?,0
581,How do DNA changes affect plants?,0
13997,How do podiatrists growing pains?,1
19392,What is the medical treatment of iritis?,1
96184,i occasionally experience palpitations. variable duration. sometimes multiple feeling sometimes single. am young. what r the chances of vf or vt?,1
510,Fort Sullivan was renamed  what after the battle?,0
1459,What method is used to divide asphalt from other materials?,0
76733,my mother had a breast cancer surgery 3 months ago and is now taking arimidex (anastrozole). she has lost about 2kg of weight. any problems?,1
45697,What are complications of vaginal fistulas?,1
592,How fast are signals produced by antenna transmitted?,0
32111,How do menopausal migraines occur?,1
61337,risks of removal of ruptured breast implants?,1
17938,What type of sunscreen is OK if you have eczema?,1
741,Hakka is a language from what geographic part of China?,0
12382,How does Crohn's disease affect your body?,1
239,What can you observe with the texture?,0
1469,What makes a manufacturer's prefix less reliable?,0
418,Does the service is fast and good?,0
106,Do high blood pressure medications produce side effects?,1
389,How is the depth?,0
81348,is first degree heart block is a problem for an aviation medical class 3 physical?,1
52542,what proportion of 'boob jobs' are for breast reduction as opposed to enlargement? where can i find this data?,1
178,What do you think about noise?,0
4619,Which benzodiazepines are used to treat bipolar I disorder?,1
42633,Does poor hygiene cause athlete's foot?,1
290,Did all hold title of nobility?,0
16191,How does fiber treat constipation?,1
37520,my dr prescribed oxythin for me a few months ago and just prescibed me phentermine but i forgot to ask him if i'm supposed to take them together or no?,1
382,"During his attendance to von Mises' seminars, who did Hayek become friends with?",0
393,During Prohibition how high was Nucky Johnson's income?,0
73852,are there safe alternative therapies for paget's disease of breast?,1
531,Gandhi was a leader of what country?,0
46965,how does obesity effect infertility in men?,1
81,How is it write?,0
1355,What powers do tribal governments have?,0
1088,What could we monitor electronically that could help inform new methods of wood protection?,0
39030,Is an itch a symptom of a deeper problem?,1
956,Why are capacitors connected in parallel with the power circuits of many devices and large systems?,0
40540,how can i get rid of fat on my stomach?,1
385,How was the series?,0
1,How is end?,0
954,Why are patents criticized?,0
972,What was the first TV episode Spielberg directed part of?,0
165,What is build ?,0
73263,how much recovery time is needed for 390cc silicon breast implant under the muscle removal with no replacement?,1
14487,How can I maintain my quality of life after being diagnosed with diabetes?,1
7098,How can I be tested for stomach cancer?,1
5871,sir i got one cut marks on lower lips and stich marks in chin how i will recover my injury?,1
1357,What practice did Altan Khan put to an end?,0
41,What causes bronchitis?,1
403,"During the Australian constitutional crisis, what Prime Minister was dismissed?",0
351,Drugs made between which years had to be tested before going to market?,1
393,Is this movie recommended?,0
1358,What practice did the Ptolemies adopt in which they dubbed themselves god-kings?,0
570,How is the downtown?,0
102665,is it safe to take lansoprazole (15mg) citalopram (10mg) and quetiapine (25mg) together specifically regarding prolonged qt? i'm 30 m and my baseline qt is 440. i've been on ppi long term.,1
12569,is it safe to have liposuction before getting pregnant and having a baby?,1
95,What are symptoms of hearing loss?,1
21238,Are there over-the-counter antifungal medications for athlete's foot?,1
64800,i know that breast cancer in men is rare but do men with manboobs have a higher rate of breast cancer than men with no manboobs?,1
62930,can a thyroid problem cause sore breasts mood swings low libido and lethargy? having difficulty swallowing. scan due next week.,1
313,How are the characters?,0
337,Does the amount of grey matter in the brain increase linearly or follow an inverted-U pattern over the course of adolescence?,1
25057,"What is biotin and low level laser therapy (LLLT), and how can it help thinning hair?",1
85,How do I know if I should take an antihistamine or a decongestant for a cold or flu?,1
278,What does this taste like to you?,0
283,Where are there more preference?,0
324,How is the beating scene?,0
118445,what's the difference between a mini-stroke and an epilepsy? which is more serious?,1
429,How would you rate lunch?,0
26392,How often do I need to get my pacemaker checked?,1
48487,which is more expensive: breast reduction or augmentation?,1
5575,When do you need medical attention for dizziness?,1
29103,What are questions that I can ask to my doctor about diffuse large B-cell lymphoma?,1
174,At what locations were public house licenses granted?,0
1036,What did efforts to track mixing between different groups lead to?,0
24845,Why is cholesterol screening important for people age 60 and up?,1
949,Why are many BYU athletes older than other schools' players?,0
33874,what to do if i got rich of cellulite cellulite factor. what's it?,1
13845,How does the fasting plasma glucose (FPG) test diagnose diabetes?,1
747,Handshake packets consist of only a single what?,0
865,Zeus was paired with which local god?,0
142,A British minister thought which country was becoming an 'American satellite'?,0
620,In what time period did the most brutal battles occur?,0
262,Children who have ADHD or conduct disorders respond better when what is a part of their treatment plan?,1
39624,What are the side effects of PUVA therapy (photochemotherapy) for moderate to severe psoriasis?,1
468,Why is the atmosphere like that?,0
12129,What is the familial adenomatous polyposis (FAP) gene?,1
466,How is a portion of sushi?,0
628,"Name a property that copper, silver and gold have in common.",0
9002,What are the side effects of chemotherapy for head and neck cancer?,1
19945,I have an object stuck in my eye; when should I seek medical help?,1
1410,What object is used to expose selected parts of the photosensitive film to light?,0
33014,What is the definition of electroencephalogram?,1
1311,Why couldn't Petrovich persuade Austria to invade Prussia?,0
1353,What prevented BBC2 from broadcasting on its scheduled launch date?,0
1189,What concerns have reduced Minor League exhibition games?,0
134400,what tests can be performed to determine the size of the coronary artery fistula?,1
1321,What races are considered to be the of the the national races in Burma ? ,0
8,How is the place?,0
11858,is tumescent liposuction less invasive than traditional liposuction? is tumescent liposuction less invasive and easier on the body than traditional liposuction? if so how do they differ? .,1
487,How well served is the dish?,0
981,What was the first war that caused paper money to be issued?,0
116831,what are the main risks of carotid end-arterectomies?,1
750,i have a pretty nasty scab in my nose almost all the way around the opening. very sore. what is the best way to treat it?,1
885,"Within the New Haven metropolitan area contain a Fortune 1000 company located in Orange, the name of the company?",0
4674,Can lifestyle habits increase the risk of bipolar disorder?,1
1040,What describes the causal connection between the subsequent conditions of cyclic existance?,0
632,Of what nationality were the officers in the Indian Army?,0
1733,What can you do to ease allergy symptoms?,1
344,Why do I have a better animation?,0
181,At what temperature to zinc become brittle?,0
703,Electromagnetic fields obey what laws?,0
11377,What is the definition of the common cold?,1
103422,played volleyball tonight my hr got up around 180 and i was having chest pain in my left breast for about 5mins but i had an ekg yesterday that came out fine. should i go to er?,1
36655,please advise if it's normal for me to hear/sense my own snoring in sleep?,1
1134,What compression did the first European HDTV broadcast use?,0
1051,What created the differentiation of Protestant branches?,0
564,How can you describe the hotel in Kisumu beach?,0
72363,how do you boost your chances of surviving breast cancer?,1
455,Faith can bring what eternal benefit?,0
177,Is this music song have a goo bass?,0
265,China and India are now starting to fund what type of shrines in various Asian countries?,0
1000,What types of crafts can be purchased at Vernissage?,0
541,How are Alpine plants grouped?,0
56305,do you need to do the meal plan to lose weight with insanity workouts?,1
1100,"What compiles data from around 17,000 law enforcement agencies?",0
482,How is the quality of the meat?,0
16067,i have some soft ear plug material stuck in my ear. i need to see an ent doctor to remove it. how do i find the right one?,1
16753,i had a lipo 7 months back of my front abs and upper hips i am putting on some fat again. i do exercise but not regularlyfi fear ill put the weight bak?,1
6153,What will happen during your appointment for breast lumps?,1
146,How does it compare to the other display?,0
1366,What other types of operas are performed in Nanjing?,0
1202,What condition was attributed to binge drinking in a 2004 study?,0
690,Does Plaza Lafayette refer to the east or west end of 181st Street?,0
1423,"What number indicates the minimum score for a country to be considered a ""high development"" country?",0
39073,Can scratching make psoriasis worse?,1
1211,What conference lost the first All-Star Game?,0
944,Why does Hegel believe we cannot know God?,0
48621,what is the cause of breast tenderness and is it normal?,1
45159,What are the risks of taking evening primrose oil?,1
18840,What are some ways to treat trichiasis?,1
295,How is the stuff?,0
1228,What act  of provincials brought new gods into the military?,0
32194,What causes a new daily persistent headache?,1
323,Do political parties have a Party leader?,0
1050,What created Serbia?,0
8466,i was wondering is garcinia cambogia safe with a kidney & pancreas transplant?,1
28878,How can shock wave lithotripsy treat kidney stones?,1
684,Can one travel by plane from any country in Myanmar ?,0
30052,How do doctors treat lung cancer?,1
28611,How does relieving stress help treat IBS-D?,1
3613,Will my doctor talk talk to me about my catheter ablation procedure?,1
104061,palpitations and bp of 135/102. also having weird muscle pain/cramping in right calf.,1
4325,how do you get rid of an itchy scalp that always have scab on it?,1
842,Yale and New Haven are conjointly attempting to build the area into a research hub for what two industries?,0
727,Fpr what possession of Prussia was the Saxony invasion a distraction?,0
6445,What are the symptoms of inflammatory breast cancer?,1
483,For both men and women average life expectancy is how many years?,1
724,Four-fifths of the ZIP codes that provide the highest amount of political contributions in the United States are located in what borough?,0
18498,What should you do if you notice that things look blurry and you have diabetes?,1
157,Is it product ?,0
1092,What could you find in Novgorod that you couldn't in most other cities?,0
996,What usually happens when two or more wrestlers are involved?,0
22789,What are common acupuncture points?,1
368,How is the pace?,0
1443,What must an operator deviate from to harm the computer?,0
1001,What types of crops does Portugal produce?,0
6213,What are side effects of tamoxifen?,1
21588,what does a score f 100 in the rumination subscale mean?,1
215,Bain Capital is a holding company of which company?,0
90,Is the novel written by tracey chevalier have any new idea?,0
555,How is the hotel?,0
98713,my heart-rate while in bed is 58-60bpm when changing positions it increases then goes back to 60 is this a normal reaction?,1
40226,Can I do flexibility exercises if I have rheumatoid arthritis?,1
0,Who is the betterreader in the world?,0
230,Bell sketched a design that looked like the work of who?,0
266,China and what other permanent member of the Security Council abstained from the vote on the referral resolution?,0
202,At which group did Therapsids end with?,0
329,How is the animation?,0
672,Would a text written in Middle Dutch be readable or unintelligible for a Dutch speaker today?,0
1071,What could keep the crisis states from trying to stand on their own?,0
1052,What createds the change in light reflected off of a CD?,0
34615,"i am 29yrs height: 5'4""(1. 63m) weight: 172lbs(78. 0kg) and my bmi is: 29. 5 which shows i'm overweight. pls how much kg do i need to loose. thanks.",1
434,Egyptianized Greeks in the Ptolemaic kingdom started to exist by which century?,0
2533,What is mixed dementia?,1
15,What is your feeling about this book ?,0
959,Why are collaborative agreements important?,0
379,"During development, the brain is made up of three swellings at the front of what?",1
126388,what is the equivalent dose for losartan 50 daily in diltiazem pls?,1
647,Why have energy sector regulators become a key facilitator of renewable energy investments?,0
773,How did the British assure numerical superiority in taking Louisbourg?,0
963,Why are divers attracted to Bermuda?,0
25,Is it talent ?,0
452,Euro1080 was a division of what former company?,0
261,How is the kick?,0
5,What is the secret ?,0
106799,normal heartrate is 94-108 resting. was on elliptical last night (not going full force) for45 minutes hr was 228 during workout. is this ok? i felt fine!,1
105756,panic attacks are starting to feel like i'm having a heart attack. almost passed out at work a few times. i need advice. very hard to get a psych appt?,1
426,Which place sells burritos that seem filling?,0
7972,What are the NCN Clinical Practice Guidelines in Oncology?,1
477,Is the light so low?,0
831,Who did the navicella mosaic depict walking on water?,0
21879,How is herpes simplex keratitis treated?,1
320,Do people bet on the cockfighting or is it just for entertainment?,0
926,Why do US troops visit Tajikistan every so often?,0
47,How should medicines be stored? ,1
89,Does gestational diabetes lead to other types of diabetes after pregnancy?,1
623,Name a parasitic ectosymbiont.,0
307,Do bigger dogs typically have longer or shorter lives?,0
578,How do devices with Windows 8 Enterprise attain apps outside of the Windows Store?,0
122, What famous ship was the soviet union getting the plans for?,0
621,In what time period did the quarrel between the Ancients and the Moderns peak?,0
136,4 minutes became Madonna's which number one single in the UK?,0
41539,What are the symptoms of schizoaffective disorder?,1
206,"Atomically, glass is similar to what?",0
2404,How do I know if my loved one with Alzheimer's disease needs assisted living?,1
37104,Does osteoarthritis limit your range of motion?,1
76545,hi i um 26 years old. i feel discomfort in breast. upper and side parts near underarm bone. what should i do. its symptoms of breast cancer?,1
29986,How can doctors find out if the lungs are holding in too much air?,1
2510,What can you do if you tend to forget?,1
22308,What are possible causes of social and emotional developmental delays in children?,1
42796,Who shouldn't get sclerotherapy?,1
905,Why were the Portugese Africa territories' borders formally established?,0
27495,When do you need a liver function test?,1
286,Did 9/11 lead to more FBI oversight?,0
37803,Why is teaching responsibility an important part of parenting and curbing teen's bad behavior?,1
39,Do you have a happy life?,0
1391,"What online music publication ranked Kanye's album ""My Beautiful Dark Twisted Fantasy"" as the world's best album so far?",0
70,How many chapters are missing from this story?,0
525,Galicia then became part of which Kingdom?,0
55006,hi doc weight is about 140kg considering tummy tuck surgery / apronectomy will i be ok dr said he will take of 5-10kgs from my abdoman?,1
496,For what country is Tito viewed as  unifying figure?,0
125144,where does ischemia occur with regards to thrombosis? upstream and downstream of the clot or both?,1
109146,worried it's giving me bad anxiety when i workout and i can't feel that pounding heart beat? just walking to my car short breath bad. lump throat feeling constant. + metha challeng airway disease pft. heart/lung doc ct bronchosc echo stress tes fine,1
61,How is character development?,0
1214,What borough has the largest population of Jewish people?,0
5908,should i pop a burn blister on my finger?,1
1180,What concepts overlook the experiential nature of basic elements?,0
10184,is sleep apnea inherited?,1
1238,What adjective describes fully formed heartwood?,0
45580,What types of surgery are used to treat ovarian cysts?,1
34342,What is clinically isolated syndrome?,1
1168,What concept is used to determine relations between Grand Lodges?,0
81404,i think i might have heart attack!?,1
91,Can you give me an idea of what's in this book?,0
5470,my friend has burns all over from a nearby explosion. what are the best ways to treat it?,1
106939,pounding heartbeat cardiac tests normal. don't think anxiety since i take 2 mood stabilizer a day and already take 20 mg of propranolol 3 times a day.,1
127,How to drive in the city?,0
25828,What is an electrophysiology (EP) study?,1
541,Do you miss your bed?,0
36083,How can surgery help osteoarthritis (OA)?,1
45469,What causes pregnancy nausea or vomiting?,1
508,Former German territory that lie east of the Oder-Neisse Line went under which countries administration?,0
4340,What injuries can cause back pain?,1
569,How do Candidate Conservation Agreements differ from Safe Harbor agreements?,0
473,Finite energy in a QED is called what?,0
707,Explain the process used by McKerrow as an alternative to the stemmaic method,0
180,At what temperature range in degrees Fahrenheit will uranium metal form uranium hydride?,0
2500,Can you drive if you have Alzheimer's disease?,1
294,Do all jurisdictions require the permit to be displayed in the elevator?,0
40,How is the problem in the plot?,0
54275,how effectively does phentermine work?,1
5839,Who is more likely to get breast cancer?,1
65900,is it safe for a 13 year old girl to use trima breast reduction pills?,1
39934,how does losing weight get rid of cellulite?,1
171,Does need a lot of time?,0
464,Federal government works are excluded from what legal protection?,0
18891,Who should get an endothelial keratoplasty?,1
1090,What could you also call Rome's Campus Maritus?,0
1327,What radio DJ was originally hired as a judge in season one but declined?,0
1442,What must an iPod be connected to before iTunes can synchronize?,0
1235,What  income source does Tuvalu earn from shipping?,0
21303,What is the outlook for a muscle strain?,1
102,Can you suggest some good fat burning workout?,1
110,How is option?,0
630,Of what nationality was Sher Shah Suri?,0
908,Why was the first quantized model of the atom introduced?,0
1250,What are locals of Mexico City called?,0
669,Wy did records outside of the US often have small holes with the ability to punch out the center?,0
461,Farm laborers traded titles to shoen holders in exchange for what?,0
1144,How does talking with teachers help teens behave?,1
425,Is this a good atmosphere?,0
134,"""We choose to go to the Moon"" speech was given at what location in Texas?",0
1309,Why couldn't each moment of each person's life be given a different proper name?,0
27732,What should you know about hepatitis C and your skin?,1
300,Why are the good series forgotten?,0
158,Is it product ?,0
85580,what's the difference between catheter ablation and radiofrequency ablation for treating arrhythmias like svt?,1
1464,What method of file recovery is used to retrieve data from the iPod?,0
17121,i'm using the nose strips and taking and antihistamine for a snoring problem. what else can i try?,1
2214,When should I call my doctor about an allergy shot?,1
503,For which work is Mary Wollstonecraft best known?,0
116,Is a stiff cover?,0
70488,can i use the pill and breast enlargement herbs at the same time?,1
159,What is the result of the soccer game?,0
8315,How does oral chemotherapy treat cancer?,1
26597,What causes congestive heart failure?,1
585,Was the service optimal?,0
505,Form whom was Kanye's 2011 fashion label designed for?,0
25008,Can you take medication before getting a tummy tuck?,1
1117,What component was to blame for the weak bass of the 3rd generation iPod?,0
27644,What are the three major types of hepatitis?,1
581,Is the room service good of the hotel ?,0
14269,i have obstructive sleep apnea. can a tonsillectomy completely improve my quality of life?,1
17659,How can I remove ear wax effectively?,1
460,"Other than stimulants, what medications work for ADHD?",1
1394,What online service did the National Archives decide to use to showcase its photographic holdings?,0
81758,is pale skin and weak muscles caused by tachycardia?,1
687,"Does physical aggression decline or increase during high-school, college, and early adulthood?",0
1095,"What could, in Rondanini's opinion, architecture ""stimulate and influence""?",0
117297,what is scientific definition of mammary artery?,1
19124,What is a retinoblastoma?,1
10,How is the story?,0
135452,severe pain after a mri arthrography on my hip. take aspirin?,1
56042,am 45 has high blood. pressure. and over weight i try everything. to loss weight be nothing works can't exercise. no energy and feet hurt help,1
8754,Who gives palliative care if you have cancer?,1
102227,should i be worried? i've had a holter monitor several ekgs and blood tests. my cardiologist is having me try citalopram and seeing how that works.,1
1409,What object emits thermal radiation in the X-ray spectrum?,0
729,France had to consent to pay how much in war indemnity?,0
370,What series would you recommend?,0
2148,How can food intolerances be tied to psychological triggers?,1
695,During the Tanzimat what western influence could be seen?,0
83,Where is the reader?,0
425,Edgar Allen Poe added value to literature in what area?,0
1251,What are logical sub-devices referred to as?,0
6956,Can sarcomas be removed?,1
107600,i am due to have a cardioversion for afib how long after the procedure is it safe to fly. i have an 11 hour flight booked. ?,1
56020,am i the ideal weight for my height and age if bmi is 25?,1
22282,How can you manage mild food allergies in your baby?,1
77152,around how expensive is a breast augmentation?,1
66772,is it worth it to get breast implants to go from 32b to a 34 b or 36b?,1
